epoch,acoustic_G_loss,visual_G_loss,text_G_loss,visual_D_loss,text_D_loss,acoustic_D_loss
70,0.71495277,1.5957665,0.48525244,0.45928907,0.79242575,0.46692526
71,0.80114245,1.6302416,0.6480013,0.4464767,0.7712108,0.4326073
72,0.64906347,1.6666383,0.5771062,0.39818048,0.7817383,0.5158541
73,0.73293924,1.6964412,0.5239299,0.38454857,0.72648597,0.42288673
74,0.8091938,1.6925157,0.40571785,0.5832295,0.5221062,0.41986412
75,0.6426284,1.7115492,0.39789408,0.42216697,0.735061,0.38031065
76,0.5244563,0.4700198,0.40119004,0.6690897,0.5926025,0.716957
77,0.3378163,0.5389038,0.5911051,0.32336652,0.4533221,0.5925462
78,0.2770611,0.44424427,0.41480592,0.37421602,0.39010102,0.50901186
79,0.34210968,0.4599299,0.42916965,0.38040358,0.40692097,0.5061067
80,1.1978095,0.44594616,0.43529516,0.34027353,0.40938598,0.36952126
81,0.5533947,0.4269133,0.4816683,0.3643793,0.3204652,0.70516604
82,0.49885884,0.57838947,0.49077883,0.31364065,0.3374219,0.43033683
83,0.5381177,0.4018357,0.81157017,0.35501444,0.37137443,0.4950928
84,0.4594997,0.78091824,0.5637021,0.34686828,0.34003362,0.40285096
0,0.6823684573173523,0.4187939763069153,0.6874624490737915,0.2621669173240661,0.3372120559215545,0.3873963952064514
1,0.517192006111145,0.3890413641929626,0.4075234830379486,0.3086987733840942,0.2882366776466369,0.7071658372879028
2,0.7787317633628845,1.966999888420105,1.025637984275818,0.4861817359924316,0.7698615193367004,0.367223858833313
3,1.0809646844863892,2.0025200843811035,0.3793018460273742,0.2599242925643921,0.972230076789856,0.3136935830116272
4,1.185469388961792,2.033708333969116,0.8272501826286316,0.8894597887992859,0.9526044726371764,0.3687320351600647
0,1.2727168798446655,2.0516374111175537,1.3755446672439575,0.2429644465446472,0.7901148796081543,0.3926215469837188
1,1.1612451076507568,2.102802991867065,0.8594916462898254,0.2790534496307373,1.003061294555664,0.3589858412742615
2,1.0910160541534424,2.132328987121582,0.3804003000259399,0.507282555103302,0.905327320098877,0.5281240344047546
3,0.8061138987541199,2.148885726928711,0.3795593678951263,0.2584620118141174,0.8010558485984802,0.304527997970581
4,0.6725584864616394,2.195516347885132,1.602483868598938,0.2345494627952575,0.7359782457351685,0.3419398963451385
0,1.0117294788360596,2.219815731048584,1.9100613594055176,0.2355106770992279,0.5683718323707581,0.2993210256099701
1,0.8928361535072327,2.282642602920532,2.0638413429260254,0.2528941631317138,0.7318698167800903,0.3010017573833465
2,0.749873697757721,2.346590280532837,2.162919044494629,0.3639034628868103,0.7463353872299194,0.2804737687110901
3,0.7666592001914978,2.41204047203064,2.3526642322540283,0.2793982028961181,0.7354722023010254,0.2789101004600525
4,1.0107910633087158,2.484483480453491,2.458935260772705,0.5312713384628296,0.7126480937004089,0.2833792567253113
0,0.465446412563324,2.3658716678619385,2.5297648906707764,0.2207642644643783,0.7366620302200317,0.3487595319747925
1,1.5575077533721924,0.3201870620250702,2.537839889526367,0.2372266948223114,0.3979150354862213,0.8290717601776123
2,1.3682222366333008,0.5248616933822632,2.580571174621582,0.3233953714370727,0.8272197246551514,0.365021288394928
3,0.6415910124778748,0.419549822807312,2.59436559677124,0.3986077308654785,0.4660810232162475,0.8073237538337708
4,0.765464186668396,0.3237826526165008,2.6092662811279297,0.4163119196891784,0.4454140961170196,0.8229854106903076
0,0.1996301114559173,0.3213369846343994,2.6581528186798096,0.5150412917137146,0.4143617749214172,0.8199294805526733
1,0.3321498036384582,0.4371734857559204,2.7039225101470947,0.4368852078914642,0.9260995388031006,0.6968979239463806
2,0.564084529876709,0.3399902880191803,2.7397477626800537,0.6647244095802307,0.5514944791793823,0.8043837547302246
3,0.5988486409187317,0.5487441420555115,2.782135248184204,0.6884807348251343,0.7460407018661499,0.4994584321975708
4,0.6301583647727966,0.3852159678936004,2.7820754051208496,0.4768963456153869,0.589840292930603,0.7301291227340698
0,1.1033883094787598,0.3926016390323639,2.810748815536499,0.4271847009658813,0.6230859756469727,0.276159256696701
1,1.2448025941848757,0.3200162947177887,2.851216077804565,0.3941153883934021,0.5859735012054443,0.2745017409324646
2,1.3852670192718506,0.3093592822551727,2.915581226348877,0.5340002775192261,0.2901666462421417,0.4394145607948303
3,1.5125688314437866,0.297570526599884,2.9765141010284424,0.4453799724578857,0.2713645100593567,0.2674708664417267
4,1.5494024753570557,0.3072448074817657,2.852358341217041,0.3757195472717285,0.2656871676445007,0.5122163891792297
0,1.1299928426742554,0.2826484143733978,2.8855209350585938,0.4054448306560516,0.4031664133071899,0.8261379599571228
1,0.2865062057971954,0.283170998096466,3.049952268600464,0.3736710548400879,0.3441351652145386,0.3139199614524841
2,0.3236168920993805,0.279496431350708,3.043837070465088,0.4714319109916687,0.6886916160583496,0.5173622965812683
